IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.15.90.141,4,4,0.00,48.28,0.00
103.15.91.164,4,4,0.00,48.50,0.00
103.15.90.141,4,4,0.00,48.93,0.00
103.15.90.141,4,4,0.00,49.02,0.00
103.15.90.134,4,4,0.00,50.42,0.00
113.175.113.125,4,4,0.00,52.78,0.00
103.15.91.164,4,4,0.00,52.79,0.00
222.252.12.173,4,4,0.00,55.25,0.00
103.15.90.181,4,4,0.00,55.44,0.00
103.15.90.134,4,4,0.00,55.53,0.00
103.197.185.118,4,4,0.00,56.22,0.00
222.252.12.173,4,4,0.00,58.11,0.00
113.172.182.180,4,4,0.00,145.39,0.00
14.163.241.215,4,4,0.00,158.44,0.00
14.225.26.23,4,4,0.00,189.35,0.00
103.154.63.178,4,4,0.00,190.32,0.00
103.171.92.23,4,4,0.00,191.06,0.00
171.244.206.132,4,4,0.00,191.82,0.00
103.171.92.23,4,4,0.00,193.17,0.00
123.30.177.120,4,4,0.00,193.51,0.00
123.30.177.120,4,4,0.00,193.82,0.00
123.30.177.119,4,4,0.00,194.02,0.00
123.30.177.120,4,4,0.00,194.07,0.00
171.244.47.214,4,4,0.00,194.55,0.00
171.244.206.152,4,4,0.00,195.02,0.00
171.244.206.143,4,4,0.00,195.34,0.00
171.244.47.204,4,4,0.00,195.42,0.00
123.30.177.120,4,4,0.00,195.45,0.00
14.225.26.4,4,4,0.00,195.63,0.00
45.124.93.192,4,4,0.00,195.75,0.00
123.30.177.120,4,4,0.00,195.95,0.00
123.30.177.120,4,4,0.00,196.67,0.00
123.30.177.119,4,4,0.00,197.06,0.00
123.30.177.120,4,4,0.00,197.21,0.00
123.30.177.117,4,4,0.00,197.42,0.00
103.171.92.23,4,4,0.00,197.43,0.00
103.90.222.94,4,4,0.00,197.57,0.00
14.225.251.30,4,4,0.00,198.83,0.00
123.30.177.120,4,4,0.00,199.35,0.00
123.30.177.119,4,4,0.00,199.44,0.00
